     #time         x         v
  189.1378    0.5822    0.7782
  189.4005    0.7643    0.6003
  189.6750    0.8984    0.3705
  189.9606    0.9664    0.1024
  190.2128    0.9614   -0.1419
  190.4649    0.8956   -0.3773
  190.7170    0.7732   -0.5887
  190.9800    0.5935   -0.7694
  191.2550    0.3623   -0.9016
  191.5400    0.0942   -0.9671
  191.7919   -0.1497   -0.9599
  192.0437   -0.3842   -0.8923
  192.2955   -0.5944   -0.7684
  192.5588   -0.7739   -0.5871
  192.8342   -0.9044   -0.3545
  193.1097   -0.9667   -0.0951
  193.3851   -0.9561    0.1713
  193.6605   -0.8735    0.4249
  193.9359   -0.7251    0.6464
  194.2113   -0.5220    0.8191
  194.4867   -0.2796    0.9301
  194.7622   -0.0161    0.9710
  195.0376    0.2486    0.9387
  195.3130    0.4945    0.8357
  195.5884    0.7031    0.6696
  195.8638    0.8587    0.4532
  196.1392    0.9496    0.2025
  196.4146    0.9688   -0.0633
  196.6901    0.9151   -0.3244
  196.9655    0.7924   -0.5610
  197.2409    0.6100   -0.7553
  197.5163    0.3816   -0.8926
  197.8030    0.1136   -0.9640
  198.0555   -0.1309   -0.9618
  198.3081   -0.3670   -0.8985
  198.5606   -0.5798   -0.7783
  198.8231   -0.7620   -0.6010
  199.0976   -0.8963   -0.3720
  199.3835   -0.9649   -0.1041
  199.6357   -0.9603    0.1400
  199.8880   -0.8950    0.3752
  200.1402   -0.7730    0.5867
  200.4032   -0.5939    0.7674
  200.6782   -0.3632    0.8998
  200.9633   -0.0955    0.9655
  201.2153    0.1482    0.9588
  201.4672    0.3825    0.8915
  201.7192    0.5927    0.7679
  201.9825    0.7721    0.5871
  202.2579    0.9027    0.3550
  202.5333    0.9652    0.0961
  202.8087    0.9550   -0.1700
  203.0841    0.8728   -0.4232
  203.3595    0.7248   -0.6446
  203.6349    0.5222   -0.8173
  203.9103    0.2803   -0.9285
  204.1857    0.0173   -0.9696
  204.4611   -0.2470   -0.9377
  204.7365   -0.4927   -0.8351
  205.0119   -0.7012   -0.6696
  205.2873   -0.8569   -0.4536
  205.5627   -0.9479   -0.2035
  205.8381   -0.9676    0.0619
  206.1135   -0.9143    0.3227
  206.3889   -0.7921    0.5591
  206.6643   -0.6102    0.7534
  206.9397   -0.3823    0.8908
  207.2265   -0.1146    0.9625
  207.4792    0.1296    0.9606
  207.7318    0.3655    0.8976
  207.9844    0.5783    0.7777
  208.2470    0.7603    0.6009
  208.5215    0.8947    0.3723
  208.8074    0.9634    0.1048
  209.0597    0.9590   -0.1391
  209.3121    0.8940   -0.3741
  209.5644    0.7722   -0.5854
  209.8274    0.5935   -0.7660
  210.1024    0.3632   -0.8983
  210.3877    0.0958   -0.9641
  210.6397   -0.1477   -0.9575
  210.8917   -0.3817   -0.8904
  211.1437   -0.5917   -0.7670
  211.4071   -0.7709   -0.5864
  211.6825   -0.9014   -0.3546
  211.9579   -0.9638   -0.0961
  212.2334   -0.9536    0.1696
  212.5088   -0.8716    0.4226
  212.7842   -0.7238    0.6436
  213.0597   -0.5215    0.8162
  213.3351   -0.2799    0.9272
  213.6105   -0.0172    0.9682
  213.8860    0.2468    0.9363
  214.1614    0.4921    0.8339
  214.4368    0.7003    0.6685
  214.7122    0.8558    0.4528
  214.9877    0.9466    0.2030
  215.2631    0.9662   -0.0621
  215.5385    0.9129   -0.3225
  215.8140    0.7907   -0.5586
  216.0894    0.6090   -0.7525
  216.3648    0.3814   -0.8897
  216.6517    0.1141   -0.9612
  216.9044   -0.1298   -0.9591
  217.1571   -0.3655   -0.8962
